"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"	"Absolute (rad/s)"
3.016032141E0	-3.498724699E-1	1.233691275E-1	-4.604274780E-2	3.738323440E-1
3.018033507E0	-3.565919697E-1	1.258125901E-1	-4.909707233E-2	3.813097995E-1
3.020029640E0	-3.651441038E-1	1.245908514E-1	-5.398399383E-2	3.895733158E-1
3.022030840E0	-3.688092828E-1	1.221473888E-1	-5.581659079E-2	3.924993802E-1
3.024031206E0	-3.779722452E-1	1.245908514E-1	-5.887091532E-2	4.023079456E-1
3.026032239E0	-3.828592002E-1	1.270343214E-1	-5.948178098E-2	4.077462057E-1
3.028039905E0	-3.883569539E-1	1.276451796E-1	-6.559043378E-2	4.140247825E-1
3.030041238E0	-3.981308043E-1	1.319212317E-1	-6.864476204E-2	4.249981789E-1
3.032042571E0	-4.017959833E-1	1.355864257E-1	-6.986649334E-2	4.297732169E-1
3.034043904E0	-4.091263711E-1	1.361972988E-1	-7.475341111E-2	4.376324534E-1
3.036045270E0	-4.170676172E-1	1.453602761E-1	-7.597514242E-2	4.481598258E-1
3.037488653E0	-4.213436842E-1	1.514689177E-1	-8.025119454E-2	4.548775522E-1
3.039483853E0	-4.292849302E-1	1.557449847E-1	-8.330553025E-2	4.642002402E-1
3.041485219E0	-4.323392510E-1	1.636862308E-1	-8.391638845E-2	4.698429210E-1
3.043486552E0	-4.390587807E-1	1.673514247E-1	-8.819244802E-2	4.780763748E-1
3.045487885E0	-4.421131015E-1	1.716274768E-1	-8.941417933E-2	4.826125576E-1
3.047488218E0	-4.463891685E-1	1.710166186E-1	-9.185764194E-2	4.867728423E-1
3.049489551E0	-4.518869519E-1	1.759035289E-1	-9.369023889E-2	4.938843282E-1
3.051490884E0	-4.555521607E-1	1.789578497E-1	-9.491196275E-2	4.985598899E-1
3.053492250E0	-4.598282278E-1	1.789578497E-1	-9.613369405E-2	5.027022958E-1
3.055493883E0	-4.647151232E-1	1.814013273E-1	-9.857715666E-2	5.085115958E-1
3.057495216E0	-4.659368694E-1	1.728492081E-1	-9.674455971E-2	5.062939115E-1
3.059494982E0	-4.744889736E-1	1.734600663E-1	-1.046858057E-1	5.159334246E-1
3.061496315E0	-4.757106900E-1	1.740709394E-1	-1.040749401E-1	5.171391937E-1
3.063497648E0	-4.769324362E-1	1.710166186E-1	-1.052966788E-1	5.174926310E-1
3.065499014E0	-4.824302197E-1	1.673514247E-1	-1.059075370E-1	5.214995902E-1
3.067500314E0	-4.860953987E-1	1.655188352E-1	-1.059075370E-1	5.243106215E-1
3.069498947E0	-4.964801073E-1	1.630753577E-1	-1.077401340E-1	5.335672457E-1
3.071500313E0	-4.989235699E-1	1.569667011E-1	-1.071292758E-1	5.338913332E-1
3.073504779E0	-5.044213533E-1	1.545232534E-1	-1.101835966E-1	5.389422627E-1
3.075506112E0	-5.099191666E-1	1.557449847E-1	-1.077401340E-1	5.439503591E-1
3.077507445E0	-5.129734278E-1	1.557449847E-1	-1.089618653E-1	5.470566022E-1
3.079508778E0	-5.239690542E-1	1.557449847E-1	-1.126270592E-1	5.581083448E-1
3.081510078E0	-5.288559794E-1	1.526906639E-1	-1.114053279E-1	5.616175148E-1
3.083511411E0	-5.337429047E-1	1.471928656E-1	-1.114053279E-1	5.647639994E-1
3.085513044E0	-5.459601879E-1	1.435276866E-1	-1.150705218E-1	5.761197346E-1
3.087508277E0	-5.557340980E-1	1.349755526E-1	-1.150705218E-1	5.833523913E-1
3.089509643E0	-5.642861128E-1	1.300886422E-1	-1.175139770E-1	5.908903508E-1
3.091510976E0	-5.667296052E-1	1.325321048E-1	-1.181248501E-1	5.938860871E-1
3.093512342E0	-5.746709108E-1	1.276451796E-1	-1.187357083E-1	6.005315280E-1
3.095513675E0	-5.752817392E-1	1.264234483E-1	-1.199574396E-1	6.011004534E-1
3.097514708E0	-5.832229853E-1	1.203147992E-1	-1.236226335E-1	6.082000140E-1
3.099516074E0	-5.948293805E-1	1.093192250E-1	-1.236226335E-1	6.172967199E-1
3.101517407E0	-6.052141190E-1	1.001562402E-1	-1.266769618E-1	6.263884217E-1
3.103523007E0	-6.113227606E-1	9.404759109E-2	-1.260660887E-1	6.312314359E-1
3.105524373E0	-6.155987978E-1	8.610634506E-2	-1.291204244E-1	6.348608245E-1
3.107525706E0	-6.241509318E-1	7.633249462E-2	-1.309530139E-1	6.422925558E-1
