"Time (s)"	"Frequency (Hz)"	"Speed (m/s)"
2.961273656E0	1.002086637E3	7.079792823E-1
2.971273864E0	1.002288007E3	7.761465361E-1
2.981274072E0	1.002247817E3	7.625437921E-1
2.991274281E0	1.002308440E3	7.830618386E-1
3.001274489E0	1.002294355E3	7.782951544E-1
3.011274697E0	1.002385595E3	8.091718419E-1
3.021274906E0	1.002386501E3	8.094785591E-1
3.031275114E0	1.002342195E3	7.944855902E-1
3.041275322E0	1.002183652E3	7.408241102E-1
3.051275531E0	1.001979813E3	6.718062185E-1
3.061275739E0	1.001755561E3	5.958447951E-1
3.071275948E0	1.001552724E3	5.271078522E-1
3.081276156E0	1.001289531E3	4.378760400E-1
3.091276364E0	1.000898823E3	3.053252550E-1
3.101276573E0	1.000647722E3	2.200828364E-1
3.111276781E0	1.000901917E3	3.063753711E-1
3.121276989E0	1.000887935E3	3.016300712E-1
3.131277198E0	1.001147773E3	3.897954607E-1
3.141277406E0	1.001224427E3	4.157959473E-1
3.151277614E0	1.002262620E3	7.675539548E-1
3.161277823E0	1.003231916E3	1.095311531E0
3.171278031E0	1.003140997E3	1.064595191E0
3.181278239E0	1.003686643E3	1.248854698E0
3.191278448E0	1.002797754E3	9.485824229E-1
3.201278656E0	1.001937060E3	6.573271030E-1
3.211278864E0	1.000824432E3	2.800759675E-1
3.221279073E0	9.998741065E2	-4.280919361E-2
3.231279281E0	9.990317834E2	-3.295126982E-1
3.241279489E0	9.981645485E2	-6.252010198E-1
3.251279698E0	9.976030718E2	-8.169136694E-1
3.261279906E0	9.974263319E2	-8.773050614E-1
3.271280114E0	9.975336961E2	-8.406165438E-1
3.281280323E0	9.974689183E2	-8.627514706E-1
3.291280531E0	9.971838544E2	-9.601935548E-1
3.301280739E0	9.969650641E2	-1.035019423E0
3.311280948E0	9.967082979E2	-1.122874870E0
3.321281156E0	9.965812516E2	-1.166361942E0
3.331281364E0	9.965439384E2	-1.179136098E0
3.341281573E0	9.967408710E2	-1.111727125E0
3.351281781E0	9.972098044E2	-9.513208594E-1
3.361281989E0	9.974273150E2	-8.769690797E-1
3.372283421E0	9.977174019E2	-7.778589022E-1
3.382283629E0	9.980377331E2	-6.684824963E-1
3.392283838E0	9.981461828E2	-6.314684850E-1
3.402284046E0	9.985380109E2	-4.978040687E-1
3.412284254E0	9.988291565E2	-3.985534342E-1
3.422284463E0	9.991107299E2	-3.026209425E-1
3.432284671E0	9.991394379E2	-2.928431368E-1
3.442284879E0	9.994311120E2	-1.935320247E-1
3.452285088E0	9.994888681E2	-1.738737035E-1
3.462285296E0	1.000194792E3	6.621654198E-2
3.472285504E0	1.000020504E3	6.971073820E-3
3.482285713E0	1.000565057E3	1.920109311E-1
3.492285921E0	1.000902200E3	3.064714281E-1
3.502286129E0	1.001170210E3	3.974062200E-1
3.512286338E0	1.001254034E3	4.258374083E-1
3.522286546E0	1.001617701E3	5.491299745E-1
3.532286754E0	1.001865784E3	6.331853053E-1
3.542286963E0	1.002073557E3	7.035504840E-1
3.552287171E0	1.002255779E3	7.652387278E-1
3.562287379E0	1.002311446E3	7.840792704E-1
3.572287588E0	1.002422140E3	8.215377167E-1
3.582287796E0	1.002433466E3	8.253697623E-1
3.592288004E0	1.002397274E3	8.131240394E-1
3.602288213E0	1.002266928E3	7.690123535E-1
3.612288421E0	1.002329251E3	7.901049915E-1
3.622288629E0	1.002417718E3	8.200415152E-1
3.632288838E0	1.002064373E3	7.004407534E-1
3.642289046E0	1.002238593E3	7.594214811E-1
3.652289254E0	1.002212383E3	7.505498389E-1
3.662289463E0	1.001855088E3	6.295619170E-1
3.672289671E0	1.002052343E3	6.963675534E-1
3.682289879E0	1.001915430E3	6.500012406E-1
3.692290088E0	1.001823038E3	6.187050642E-1
3.702290296E0	1.001872095E3	6.353228055E-1
3.712290504E0	1.001825060E3	6.193900358E-1
3.722290713E0	1.001903763E3	6.460495821E-1
3.732290921E0	1.001872867E3	6.355844718E-1
3.742291129E0	1.001966520E3	6.673046993E-1
3.752291338E0	1.001998568E3	6.781576138E-1
3.762291546E0	1.002219659E3	7.530127347E-1
3.772291755E0	1.002221712E3	7.537075820E-1
3.782291963E0	1.002148068E3	7.287778165E-1
3.792292171E0	1.002383673E3	8.085215519E-1
3.802292380E0	1.002493726E3	8.457578874E-1
3.812292588E0	1.002687873E3	9.114271875E-1
3.822292796E0	1.002741847E3	9.296789012E-1
3.832293005E0	1.002802772E3	9.502789768E-1
3.842293213E0	1.002783340E3	9.437087799E-1
3.852293421E0	1.002941439E3	9.971562185E-1
3.862293630E0	1.002926927E3	9.922509723E-1
3.872293838E0	1.002945820E3	9.986371397E-1
3.882294046E0	1.002863242E3	9.707229712E-1
3.892294255E0	1.002834358E3	9.609578942E-1
3.902294463E0	1.002867692E3	9.722273501E-1
3.912294671E0	1.002836184E3	9.615754001E-1
3.922294880E0	1.002838441E3	9.623382479E-1
3.932295088E0	1.002848773E3	9.658315031E-1
3.942295296E0	1.002754388E3	9.339196794E-1
3.952295505E0	1.002939089E3	9.963617107E-1
3.962295713E0	1.003051848E3	1.034471166E0
3.972295921E0	1.003159367E3	1.070801558E0
3.982296130E0	1.003050713E3	1.034087701E0
3.992296338E0	1.003057327E3	1.036322877E0
4.002296546E0	1.003022305E3	1.024487351E0
4.012296755E0	1.002923669E3	9.911495480E-1
4.022296963E0	1.002596867E3	8.806478226E-1
4.032297171E0	1.002573277E3	8.726683943E-1
4.042297380E0	1.002146243E3	7.281596885E-1
4.052297588E0	1.001623562E3	5.511163004E-1
4.062297796E0	1.001335002E3	4.532956076E-1
4.068969998E0	1.000816652E3	2.774352511E-1
4.078970206E0	1.000178979E3	6.084188057E-2
4.088970415E0	9.997103421E2	-9.851220942E-2
4.098970623E0	9.992724628E2	-2.475427548E-1
4.108970831E0	9.989047347E2	-3.727985306E-1
4.118971040E0	9.988991905E2	-3.746876957E-1
4.128971248E0	9.992248174E2	-2.637665414E-1
4.138971456E0	9.986790663E2	-4.497114945E-1
4.148971665E0	9.990130143E2	-3.359066724E-1
4.158971873E0	9.989567866E2	-3.550629738E-1
4.168972081E0	9.991208102E2	-2.991875793E-1
4.178972290E0	9.986234417E2	-4.686749973E-1
4.188972498E0	9.988594810E2	-3.882192263E-1
4.198972706E0	9.981847980E2	-6.182910014E-1
4.208972915E0	9.980187605E2	-6.749586808E-1
4.218973123E0	9.977310720E2	-7.731898228E-1
4.228973331E0	9.979026396E2	-7.146013078E-1
4.238973540E0	9.977642421E2	-7.618610136E-1
4.248973748E0	9.983204404E2	-5.720109999E-1
4.258973956E0	9.989038710E2	-3.730928129E-1
4.268974165E0	9.996353544E2	-1.240247367E-1
4.278974373E0	1.000217581E3	7.396152886E-2
4.288974581E0	1.000707004E3	2.402116131E-1
4.298974790E0	1.001088265E3	3.696080059E-1
4.308974998E0	1.001586612E3	5.385936737E-1
4.318975206E0	1.001672158E3	5.675845744E-1
4.328975415E0	1.001886682E3	6.402638526E-1
4.338975623E0	1.002122415E3	7.200926220E-1
4.348975831E0	1.002271299E3	7.704917856E-1
4.358976040E0	1.002509077E3	8.509510269E-1
4.368976248E0	1.002634941E3	8.935253936E-1
4.378976456E0	1.002962994E3	1.004441949E0
4.388976665E0	1.003063654E3	1.038460806E0
4.398976873E0	1.003235179E3	1.096413632E0
4.408977081E0	1.002952074E3	1.000750808E0
4.418977290E0	1.003771774E3	1.277584541E0
4.428977498E0	1.002658573E3	9.015182198E-1
4.438977706E0	1.002839763E3	9.627851987E-1
4.448977915E0	1.002473232E3	8.388242604E-1
4.458978123E0	1.002101778E3	7.131056975E-1
4.468978332E0	1.002211204E3	7.501506363E-1
4.478978540E0	1.001916174E3	6.502532085E-1
4.488978748E0	1.001960936E3	6.654133921E-1
4.498978957E0	1.001729557E3	5.870340803E-1
4.508979165E0	1.001548054E3	5.255247819E-1
4.518979373E0	1.001670214E3	5.669257776E-1
4.528979582E0	1.001516258E3	5.147471394E-1
4.538979790E0	1.001292488E3	4.388786483E-1
4.548979998E0	1.001335603E3	4.534994458E-1
4.558980207E0	1.001326444E3	4.503935419E-1
4.568980415E0	1.001160085E3	3.939718690E-1
4.578980623E0	1.001143848E3	3.884639461E-1
4.588980832E0	1.001173983E3	3.986863298E-1
4.598981040E0	1.001086991E3	3.691756804E-1
4.608981248E0	1.001161226E3	3.943588006E-1
4.618981457E0	1.001154023E3	3.919154851E-1
4.628981665E0	1.001213605E3	4.121253925E-1
4.638981873E0	1.001125774E3	3.823329067E-1
4.648982082E0	1.001192770E3	4.050585711E-1
4.658982290E0	1.001372690E3	4.660747809E-1
4.668982498E0	1.001387410E3	4.710657929E-1
4.678982707E0	1.001619728E3	5.498169750E-1
4.688982915E0	1.001639253E3	5.564340314E-1
4.698983123E0	1.001759156E3	5.970627684E-1
4.708983332E0	1.001867897E3	6.339010389E-1
4.718983540E0	1.002029432E3	6.886092288E-1
4.728983748E0	1.002059680E3	6.988516393E-1
4.738983957E0	1.002015816E3	6.839986091E-1
4.748984165E0	1.001907118E3	6.471857145E-1
4.758984373E0	1.001793418E3	6.086703504E-1
4.772163228E0	1.001659081E3	5.631532032E-1
4.782163436E0	1.001445883E3	4.908904200E-1
4.792163645E0	1.001547649E3	5.253874754E-1
4.802163853E0	1.001223315E3	4.154190347E-1
4.812164061E0	1.001297972E3	4.407384729E-1
4.822164270E0	1.001257627E3	4.270561354E-1
4.832164478E0	1.001296005E3	4.400714462E-1
4.842164686E0	1.001732371E3	5.879875168E-1
4.852164895E0	1.001918979E3	6.512031664E-1
4.862165103E0	1.002105888E3	7.144974375E-1
4.872165311E0	1.002548003E3	8.641191789E-1
4.882165520E0	1.002544638E3	8.629810773E-1
4.892165728E0	1.002308109E3	7.829498580E-1
4.902165936E0	1.001349687E3	4.582751739E-1
4.912166145E0	1.000511037E3	1.736639371E-1
4.922166353E0	1.000130306E3	4.429829285E-2
4.932166561E0	9.991365620E2	-2.938226072E-1
4.942166770E0	9.982997687E2	-5.790631865E-1
4.952166978E0	9.977285166E2	-7.740626376E-1
4.962167186E0	9.976206760E2	-8.108995357E-1
4.972167395E0	9.974357018E2	-8.741028629E-1
4.982167603E0	9.976888324E2	-7.876172863E-1
4.992167811E0	9.978425154E2	-7.351307819E-1
5.002168020E0	9.976355469E2	-8.058193608E-1
5.012168228E0	9.975360642E2	-8.398073930E-1
5.022168436E0	9.972155988E2	-9.493397481E-1
5.032168645E0	9.970501483E2	-1.005916878E0
5.042168853E0	9.966897401E2	-1.129226396E0
5.052169061E0	9.964453761E2	-1.212883475E0
5.062169270E0	9.963142368E2	-1.257795420E0
5.072169478E0	9.964232383E2	-1.220464290E0
5.082169686E0	9.964565363E2	-1.209061920E0
5.092169895E0	9.966018777E2	-1.159301039E0
5.102170103E0	9.968493437E2	-1.074608852E0
5.112170311E0	9.967902618E2	-1.094825094E0
5.122170520E0	9.974830575E2	-8.579197773E-1
