"Time (s)"	"Recording (a.u.)"
7.479166667E-3	4.287850581E-2
7.500000000E-3	4.525894955E-2
7.520833333E-3	4.803613392E-2
7.541666667E-3	4.989776299E-2
7.562500000E-3	5.236976226E-2
7.583333333E-3	5.386516923E-2
7.604166667E-3	5.523850215E-2
7.625000000E-3	5.731376080E-2
7.645833333E-3	5.728324229E-2
7.666666667E-3	5.868709372E-2
7.687500000E-3	6.009094516E-2
7.708333333E-3	5.966368603E-2
7.729166667E-3	6.109805597E-2
7.750000000E-3	5.963316752E-2
7.770833333E-3	5.993835261E-2
7.791666667E-3	5.914487136E-2
7.812500000E-3	5.801568651E-2
7.833333333E-3	5.777153844E-2
7.854166667E-3	5.633716849E-2
7.875000000E-3	5.508590960E-2
7.895833333E-3	5.365153966E-2
7.916666667E-3	5.160679952E-2
7.937500000E-3	4.879909665E-2
7.958333333E-3	4.699850459E-2
7.979166667E-3	4.544206061E-2
8.000000000E-3	4.284798730E-2
8.020833333E-3	3.985717338E-2
8.041666667E-3	3.881954405E-2
8.062500000E-3	3.628650777E-2
8.083333333E-3	3.222754601E-2
8.104166667E-3	3.015228736E-2
8.125000000E-3	2.771080660E-2
8.145833333E-3	2.496414075E-2
8.166666667E-3	2.200384533E-2
8.187500000E-3	1.913510544E-2
8.208333333E-3	1.647999512E-2
8.229166667E-3	1.321451460E-2
8.250000000E-3	1.004058962E-2
8.270833333E-3	5.890072329E-3
8.291666667E-3	4.028443251E-3
8.312500000E-3	5.188146611E-4
8.333333333E-3	-2.929776910E-3
8.354166667E-3	-6.134220405E-3
8.375000000E-3	-9.216589862E-3
8.395833333E-3	-1.272621845E-2
8.416666667E-3	-1.602221747E-2
8.437500000E-3	-1.971495712E-2
8.458333333E-3	-2.230903043E-2
8.479166667E-3	-2.615436262E-2
8.500000000E-3	-2.853480636E-2
8.520833333E-3	-3.201391644E-2
8.541666667E-3	-3.463850826E-2
8.562500000E-3	-3.735465560E-2
8.583333333E-3	-4.028443251E-2
8.604166667E-3	-4.257332072E-2
8.625000000E-3	-4.467909787E-2
8.645833333E-3	-4.712057863E-2
8.666666667E-3	-4.983672597E-2
8.687500000E-3	-5.233924375E-2
8.708333333E-3	-5.340739158E-2
8.729166667E-3	-5.590990936E-2
8.750000000E-3	-5.725272378E-2
