"Time (s)"	"Recording (a.u.)"
4.791666667E-3	1.178624836E-1
4.812500000E-3	6.399731437E-2
4.833333333E-3	2.920621357E-2
4.854166667E-3	3.747672964E-2
4.875000000E-3	2.334665975E-2
4.895833333E-3	6.179998169E-2
4.916666667E-3	3.976561785E-2
4.937500000E-3	6.897183142E-3
4.958333333E-3	7.107760857E-2
4.979166667E-3	3.872798853E-2
5.000000000E-3	1.944029054E-2
5.020833333E-3	6.057924131E-2
5.041666667E-3	1.013214515E-2
5.062500000E-3	5.853450117E-2
5.083333333E-3	5.426190985E-2
5.104166667E-3	-6.042664876E-2
5.125000000E-3	-1.757866146E-2
5.145833333E-3	2.380443739E-3
5.166666667E-3	-3.524887844E-2
5.187500000E-3	-3.787347026E-2
5.208333333E-3	-2.832117679E-2
5.229166667E-3	1.327555162E-2
5.250000000E-3	9.002960295E-3
5.270833333E-3	-2.844325083E-2
5.291666667E-3	-8.026367992E-3
5.312500000E-3	-2.572710349E-2
5.333333333E-3	-8.804589984E-2
5.354166667E-3	-4.345835749E-2
5.375000000E-3	-4.681539354E-2
5.395833333E-3	-1.086458937E-1
5.416666667E-3	-4.312265389E-2
5.437500000E-3	-3.295999023E-2
5.458333333E-3	-7.342753380E-2
5.479166667E-3	-4.800561541E-2
5.500000000E-3	-2.386547441E-2
5.520833333E-3	1.675466170E-2
5.541666667E-3	1.840266121E-2
5.562500000E-3	-1.159703360E-3
5.583333333E-3	3.210547197E-2
5.604166667E-3	3.564561907E-2
5.625000000E-3	-1.733451338E-2
5.645833333E-3	-4.028443251E-2
5.666666667E-3	-2.188177129E-2
5.687500000E-3	-4.919583728E-2
5.708333333E-3	-6.414990692E-2
5.729166667E-3	-3.537095248E-2
5.750000000E-3	-2.249214148E-2
5.770833333E-3	-5.432294687E-2
5.791666667E-3	-1.020844142E-1
5.812500000E-3	-6.656086917E-2
5.833333333E-3	-1.098666341E-2
5.854166667E-3	-4.251228370E-2
5.875000000E-3	-1.432538835E-1
5.895833333E-3	-1.191137425E-1
5.916666667E-3	-4.480117191E-2
5.937500000E-3	-8.072145756E-2
5.958333333E-3	-6.006042665E-2
5.979166667E-3	-5.008087405E-2
6.000000000E-3	-5.215613269E-2
6.020833333E-3	-1.281777398E-2
6.041666667E-3	-2.356028932E-2
6.062500000E-3	-4.879909665E-2
6.083333333E-3	-2.743614002E-2
6.104166667E-3	3.366191595E-2
6.125000000E-3	-1.098666341E-3
6.145833333E-3	-7.776116214E-2
6.166666667E-3	-2.136295663E-3
6.187500000E-3	9.015167699E-2
6.208333333E-3	2.352977081E-2
6.229166667E-3	1.403851436E-2
6.250000000E-3	4.315317240E-2
6.270833333E-3	2.484206671E-2
6.291666667E-3	8.084353160E-2
6.312500000E-3	-6.286812952E-3
6.333333333E-3	-6.439405499E-2
6.354166667E-3	5.630664998E-2
6.375000000E-3	-3.918576617E-2
6.395833333E-3	-1.046784875E-1
6.416666667E-3	1.092562639E-2
6.437500000E-3	-2.038636433E-2
6.458333333E-3	-2.218695639E-2
6.479166667E-3	2.325510422E-2
6.500000000E-3	-5.835139012E-2
6.520833333E-3	-4.962309641E-2
6.541666667E-3	-2.276680807E-2
6.562500000E-3	-5.652027955E-2
6.583333333E-3	-9.643848994E-3
6.604166667E-3	1.934873501E-2
6.625000000E-3	3.036591693E-2
6.645833333E-3	1.431318094E-2
6.666666667E-3	6.775109104E-3
6.687500000E-3	6.897183142E-2
6.708333333E-3	8.111819819E-2
6.729166667E-3	7.016205329E-2
6.750000000E-3	8.120975372E-2
6.770833333E-3	7.165746025E-2
6.791666667E-3	4.358043153E-2
