"Time (s)"	"Frequency (Hz)"	"Speed (m/s)"
5.279852698E0	9.999600252E2	-1.359196064E-2
5.294853011E0	9.995484910E2	-1.535824121E-1
5.309853323E0	9.993249352E2	-2.296770907E-1
5.324853636E0	9.988651932E2	-3.862726520E-1
5.339853948E0	9.988182409E2	-4.022734844E-1
5.354854261E0	9.987759557E2	-4.166850925E-1
5.369854573E0	9.985254678E2	-5.020812895E-1
5.384854886E0	9.984840033E2	-5.162214623E-1
5.399855198E0	9.983309524E2	-5.684249226E-1
5.414855511E0	9.981425423E2	-6.327108658E-1
5.429855823E0	9.975537382E2	-8.337686167E-1
5.444856136E0	9.970481602E2	-1.006596840E0
5.466523265E0	9.968350801E2	-1.079489270E0
5.481523578E0	9.969686057E2	-1.033807949E0
5.496523890E0	9.976026859E2	-8.170455038E-1
5.511524203E0	9.977143862E2	-7.788889276E-1
5.526524515E0	9.979656185E2	-6.930997334E-1
5.541524828E0	9.982415324E2	-5.989321974E-1
5.556525140E0	9.984431373E2	-5.301586936E-1
5.571525453E0	9.986678458E2	-4.535366163E-1
5.586525765E0	9.989488110E2	-3.577803379E-1
5.601526078E0	9.992306225E2	-2.617897540E-1
5.616526390E0	9.997476629E2	-8.581627131E-2
5.631526703E0	9.994665561E2	-1.814677410E-1
5.646527015E0	9.997033810E2	-1.008803731E-1
5.661527328E0	1.000075641E3	2.571593858E-2
5.676527640E0	1.000560805E3	1.905668376E-1
5.691527953E0	1.000647900E3	2.201435196E-1
5.706528265E0	1.001108176E3	3.763626414E-1
5.721528578E0	1.001337829E3	4.542540098E-1
5.736528890E0	1.001373611E3	4.663872212E-1
5.751529203E0	1.001583356E3	5.374899432E-1
5.766529515E0	1.001594577E3	5.412930205E-1
5.781529828E0	1.001677994E3	5.695620867E-1
5.796530140E0	1.001764528E3	5.988827439E-1
5.811530453E0	1.001831017E3	6.214080906E-1
5.826530765E0	1.001736614E3	5.894251175E-1
5.841531078E0	1.001742934E3	5.915666102E-1
5.856531390E0	1.001731786E3	5.877893278E-1
5.871531703E0	1.001615761E3	5.484726510E-1
5.886532015E0	1.001454060E3	4.936624658E-1
5.901532328E0	1.001467310E3	4.981545839E-1
5.916532640E0	1.001332646E3	4.524965560E-1
5.931532953E0	1.001184982E3	4.024171578E-1
5.946533265E0	1.001210184E3	4.109653643E-1
5.961533578E0	1.001018170E3	3.458257690E-1
5.976533890E0	1.001020225E3	3.465229978E-1
5.991534203E0	1.000986949E3	3.352319682E-1
6.006534515E0	1.001037280E3	3.523096472E-1
6.021534828E0	1.001015276E3	3.448438784E-1
6.036535140E0	1.001011866E3	3.436866053E-1
6.051535453E0	1.000882671E3	2.998434646E-1
6.066535765E0	1.000538442E3	1.829717329E-1
6.081536078E0	1.000352106E3	1.196738990E-1
6.096536390E0	1.000000122E3	4.159400729E-5
6.111536703E0	9.997059896E2	-9.999292224E-2
6.126537015E0	9.996121156E2	-1.319318631E-1
6.141537328E0	9.999665370E2	-1.137779353E-2
6.169302380E0	1.000578079E3	1.964331958E-1
6.184302693E0	1.000587462E3	1.996198048E-1
6.199303005E0	1.000722838E3	2.455874400E-1
6.214303318E0	1.000767375E3	2.607074442E-1
6.229303630E0	1.000844576E3	2.869135894E-1
6.244303943E0	1.001131337E3	3.842198928E-1
6.259304255E0	1.001593769E3	5.410190663E-1
6.274304568E0	1.001811367E3	6.147512040E-1
6.289304880E0	1.001241830E3	4.216986750E-1
6.304305193E0	1.000686708E3	2.333204457E-1
6.319305505E0	1.000656325E3	2.230040363E-1
6.334305818E0	1.001100386E3	3.737198713E-1
6.349306130E0	1.001607731E3	5.457510940E-1
6.364306443E0	1.002414979E3	8.191148713E-1
6.379306755E0	1.001930685E3	6.551679486E-1
6.394307068E0	1.001589049E3	5.394194420E-1
6.409307380E0	1.001324510E3	4.497378089E-1
6.424307693E0	1.001010831E3	3.433353184E-1
